OrderID,ProviderType,ProviderName,FlightNumber,SourceAirport,DestinationAirport,DepartureTime,ArrivalTime,BasePrice,BaggageFee,InsuranceFee,ServiceFee,RefundFee
AA001,Airline,American Airlines,AA1234,JFK,LAX,09:00,12:30,350.00,0.00,0.00,0.00,50.00
TP001,ThirdParty,Expedia,AA1234,JFK,LAX,09:00,12:30,245.00,45.00,25.00,15.00,120.00
AA002,Airline,American Airlines,AA5678,LAX,JFK,14:00,22:30,380.00,0.00,0.00,0.00,50.00
TP002,ThirdParty,Priceline,AA5678,LAX,JFK,14:00,22:30,260.00,45.00,28.00,18.00,145.00
AA003,Airline,American Airlines,AA9012,ORD,MIA,10:30,15:00,320.00,0.00,0.00,0.00,50.00
TP003,ThirdParty,Kayak,AA9012,ORD,MIA,10:30,15:00,210.00,45.00,30.00,12.00,130.00
AA004,Airline,American Airlines,AA3333,JFK,ORD,11:00,13:15,280.00,0.00,0.00,0.00,50.00
TP004,ThirdParty,Expedia,AA3333,JFK,ORD,11:00,13:15,190.00,40.00,25.00,15.00,120.00
DL001,Airline,Delta Airlines,DL2345,JFK,LAX,08:30,12:00,340.00,0.00,0.00,0.00,45.00
TP005,ThirdParty,Kayak,DL2345,JFK,LAX,08:30,12:00,230.00,45.00,30.00,12.00,130.00
DL002,Airline,Delta Airlines,DL6789,LAX,MIA,11:00,19:00,360.00,0.00,0.00,0.00,45.00
TP006,ThirdParty,Expedia,DL6789,LAX,MIA,11:00,19:00,240.00,50.00,25.00,15.00,125.00
DL003,Airline,Delta Airlines,DL1357,ORD,LAX,13:00,15:30,310.00,0.00,0.00,0.00,45.00
TP007,ThirdParty,Priceline,DL1357,ORD,LAX,13:00,15:30,215.00,50.00,28.00,18.00,150.00
UA001,Airline,United Airlines,UA3456,LAX,JFK,15:30,23:45,370.00,0.00,0.00,0.00,55.00
TP008,ThirdParty,Kayak,UA3456,LAX,JFK,15:30,23:45,255.00,50.00,30.00,12.00,135.00
UA002,Airline,United Airlines,UA7890,ORD,LAX,09:45,12:15,300.00,0.00,0.00,0.00,55.00
TP009,ThirdParty,Priceline,UA7890,ORD,LAX,09:45,12:15,220.00,50.00,28.00,18.00,140.00
UA003,Airline,United Airlines,UA2468,MIA,JFK,12:00,15:30,330.00,0.00,0.00,0.00,55.00
TP010,ThirdParty,Expedia,UA2468,MIA,JFK,12:00,15:30,225.00,50.00,25.00,15.00,125.00